id,tipo_empleado,id_sector,id_estado,nombre,apellido,email,DNI;
17,4,2,21,cargaDos,carga,cargaDos@gmail.com,20234567;
16,4,3,21,cargaUno,carga,cargaUno@gmail.com,10234567;
14,4,,21,AXEL,PALAVECCINO,AXELPALAVECCINO@GMAIL.COM,0;
11,3,3,21,NAHUEL,ZON,NAHUELZON@GMAIL.COM,0;
10,1,1,21,ANGEL,ORSINGHER,ANGELORSINGHER@GMAIL.COM,0;
9,4,,21,ERIC,SOLANAS,ERICSOLANAS@GMAIL.COM,0;
8,5,,21,MARIO,RAMPI,MARIORAMPI@GMAIL.COM,0;
7,3,4,21,LEILA,CASATI,LEILACASATI@GMAIL.COM,0;
2,2,2,21,ROBERTO,ALVEZ,ROBERTOALVEZ@GMAIL.COM,0;
1,5,,21,HECTOR,SANGLA,SANGLAHECTOR@GMAIL.COM,0;
